Entity,Code,Year,Mismanaged plastic waste per capita (kg per year),"GDP per capita, PPP (constant 2021 international $)",World regions according to OWID
Albania,ALB,2019,24.23915307,15078.507,Europe
Algeria,DZA,2019,17.75899473,15199.199,Africa
Angola,AGO,2019,7.445278869,8274.543,Africa
Antigua and Barbuda,ATG,2019,6.463917526,29651.863,North America
Argentina,ARG,2019,10.40191152,26629.553,South America
Australia,AUS,2019,0.20894338,57837.062,Oceania
Bahamas,BHS,2019,5.686375321,33202.355,North America
Bahrain,BHR,2019,0.635588056,56749.96,Asia
Bangladesh,BGD,2019,6.268108387,6838.326,Asia
Barbados,BRB,2019,3.038327526,18572.51,North America
Belgium,BEL,2019,0.19793743,60506.66,Europe
Belize,BLZ,2019,15.43846154,11803.088,North America
Benin,BEN,2019,11.29861876,3281.1047,Africa
Bosnia and Herzegovina,BIH,2019,16.82853681,17028.643,Europe
Brazil,BRA,2019,15.62046908,18018.621,South America
Brunei,BRN,2019,1.598152425,80228.16,Asia
Bulgaria,BGR,2019,0.445285714,29199.834,Europe
Burkina Faso,BFA,2019,15.61429064,2391.5364,Africa
Cambodia,KHM,2019,15.01152423,6448.885,Asia
Cameroon,CMR,2019,22.36814036,4882.3555,Africa
Canada,CAN,2019,0.630483013,57583.848,North America
Cape Verde,CPV,2019,6.487272727,9111.63,Africa
Chile,CHL,2019,1.623417054,28218.535,South America
China,CHN,2019,8.559308412,18820.514,Asia
Colombia,COL,2019,1.697570472,17336.771,South America
Comoros,COM,2019,69.51586369,3357.898,Africa
Congo,COG,2019,12.13361829,6939.369,Africa
Costa Rica,CRI,2019,1.139263074,23364.783,North America
Cote d'Ivoire,CIV,2019,11.33934751,5894.879,Africa
Croatia,HRV,2019,4.247941889,35123.49,Europe
Cyprus,CYP,2019,0.698081735,46195.594,Europe
Democratic Republic of Congo,COD,2019,15.78193592,1296.9476,Africa
Denmark,DNK,2019,0.067567568,66580.19,Europe
Djibouti,DJI,2019,10.56365503,5809.3047,Africa
Dominica,DMA,2019,15.02777778,17619.434,North America
Dominican Republic,DOM,2019,18.06667287,21451.287,North America
East Timor,TLS,2019,13.33642691,5096.4517,Asia
Ecuador,ECU,2019,6.262058248,13870.489,South America
Egypt,EGY,2019,14.29961748,15026.568,Africa
El Salvador,SLV,2019,3.361171367,10543.938,North America
Equatorial Guinea,GNQ,2019,6.934365782,18446.592,Africa
Estonia,EST,2019,0.452488688,42652.535,Europe
Fiji,FJI,2019,4.334831461,13567.474,Oceania
Finland,FIN,2019,0.473788865,56922.49,Europe
France,FRA,2019,0.426531552,53448.555,Europe
Gabon,GAB,2019,2.757017948,19491.406,Africa
Gambia,GMB,2019,14.9467632,2750.8213,Africa
Georgia,GEO,2019,0.076807606,18186.88,Asia
Germany,DEU,2019,0.606774669,62970.715,Europe
Ghana,GHA,2019,17.09520679,6508.2466,Africa
Greece,GRC,2019,0.430249212,33502.75,Europe
Grenada,GRD,2019,12.11607143,17047.355,North America
Guatemala,GTM,2019,17.68972186,11466.376,North America
Guinea,GIN,2019,11.58852087,3557.4624,Africa
Guinea-Bissau,GNB,2019,10.65330557,2418.104,Africa
Guyana,GUY,2019,35.20434227,13402.422,South America
Haiti,HTI,2019,21.12829619,3381.5847,North America
Honduras,HND,2019,14.97999179,6264.019,North America
Hong Kong,HKG,2019,0.777434104,65388.332,Asia
Iceland,ISL,2019,0.445427729,65122.754,Europe
India,IND,2019,9.509608,7930.0913,Asia
Indonesia,IDN,2019,3.045657286,12757.785,Asia
Iran,IRN,2019,5.981679813,14040.665,Asia
Iraq,IRQ,2019,12.51007377,14910.225,Asia
Ireland,IRL,2019,0.547931176,96369.65,Europe
Israel,ISR,2019,0.711351098,44580.81,Asia
Italy,ITA,2019,0.640842279,49690.63,Europe
Jamaica,JAM,2019,16.84972863,10216.065,North America
Japan,JPN,2019,0.281286458,44730.91,Asia
Jordan,JOR,2019,12.31686795,9288.527,Asia
Kazakhstan,KAZ,2019,2.92393941,33298.21,Asia
Kenya,KEN,2019,5.514455815,5171.7124,Africa
Kiribati,KIR,2019,0.627118644,2927.4849,Oceania
Kuwait,KWT,2019,0.627525553,51380.645,Asia
Latvia,LVA,2019,0.500786576,35208.195,Europe
Lebanon,LBN,2019,6.800175029,15659.566,Asia
Lesotho,LSO,2019,14.30164706,2773.2864,Africa
Liberia,LBR,2019,8.087907636,1575.7666,Africa
Libya,LBY,2019,27.81983178,14333.423,Africa
Lithuania,LTU,2019,0.375724638,43062.324,Europe
Madagascar,MDG,2019,0.936260151,1707.8315,Africa
Malaysia,MYS,2019,25.491518,31300.508,Asia
Maldives,MDV,2019,0.11299435,21855.502,Asia
Malta,MLT,2019,0.588636364,53342.215,Europe
Marshall Islands,MHL,2019,0.271186441,6405.0757,Oceania
Mauritania,MRT,2019,4.594785683,6162.2104,Africa
Mauritius,MUS,2019,0.235433071,25739.355,Africa
Mexico,MEX,2019,3.375352731,21704.186,North America
Montenegro,MNE,2019,0.025477707,24835.375,Europe
Morocco,MAR,2019,8.101776705,8768.176,Africa
Mozambique,MOZ,2019,14.30652704,1528.8899,Africa
Myanmar,MMR,2019,8.038338422,6562.989,Asia
Namibia,NAM,2019,8.373547094,10813.305,Africa
Netherlands,NLD,2019,0.890975025,67847.85,Europe
New Zealand,NZL,2019,0.358352498,47277.664,Oceania
Nicaragua,NIC,2019,16.93583868,6756.5938,North America
Nigeria,NGA,2019,9.698005613,5628.1777,Africa
Norway,NOR,2019,0.277746793,87725.73,Europe
Oman,OMN,2019,0.251457286,38292.387,Asia
Pakistan,PAK,2019,6.21734837,5295.953,Asia
Palau,PLW,2019,6.444444444,19312.791,Oceania
Palestine,PSE,2019,0.427424212,6269.891,Asia
Panama,PAN,2019,8.558407913,33163.727,North America
Papua New Guinea,PNG,2019,13.62101185,4301.6113,Oceania
Peru,PER,2019,4.315995078,15463.543,South America
Philippines,PHL,2019,37.23096275,9452.294,Asia
Poland,POL,2019,0.372782939,38181.62,Europe
Portugal,PRT,2019,0.373362018,40188.285,Europe
Puerto Rico,PRI,2019,0.440845551,41656.33,North America
Qatar,QAT,2019,0.540960452,113160.98,Asia
Romania,ROU,2019,2.693570875,36633.363,Europe
Saint Kitts and Nevis,KNA,2019,1.830188679,31512.193,North America
Saint Lucia,LCA,2019,23.36612022,22738.248,North America
Saint Vincent and the Grenadines,VCT,2019,11.12612613,16365.325,North America
Samoa,WSM,2019,8.822335025,7033.521,Oceania
Sao Tome and Principe,STP,2019,9.623255814,5702.0835,Africa
Saudi Arabia,SAU,2019,0.209402084,62647.715,Asia
Senegal,SEN,2019,4.029209622,4070.6123,Africa
Seychelles,SYC,2019,0.336734694,34346.07,Africa
Sierra Leone,SLE,2019,11.67784462,2855.229,Africa
Singapore,SGP,2019,0.425223983,120114.13,Asia
Slovakia,SVK,2019,0.315008246,37194.137,Europe
Slovenia,SVN,2019,0.405964406,44580.777,Europe
Solomon Islands,SLB,2019,5.253731343,2661.5999,Oceania
Somalia,SOM,2019,0.002719679,1491.1075,Africa
South Africa,ZAF,2019,12.09855186,14370.238,Africa
South Korea,KOR,2019,0.237306003,46757.26,Asia
Spain,ESP,2019,0.435415196,46896.418,Europe
Sri Lanka,LKA,2019,7.290658413,14637.444,Asia
Sudan,SDN,2019,18.25672109,3625.5232,Africa
Suriname,SUR,2019,39.47160069,22966.74,South America
Sweden,SWE,2019,0.423973695,61232.484,Europe
Syria,SYR,2019,0.029408319,4825.4062,Asia
Tanzania,TZA,2019,29.59055254,3484.6326,Africa
Thailand,THA,2019,19.55720564,21277.84,Asia
Togo,TGO,2019,15.06842366,2501.0308,Africa
Tonga,TON,2019,6.403846154,6875.0254,Oceania
Trinidad and Tobago,TTO,2019,52.42939068,33793.707,North America
Tunisia,TUN,2019,24.7574177,13249.224,Africa
Turkey,TUR,2019,19.85029366,28132.053,Asia
Ukraine,UKR,2019,8.950697822,17636.555,Europe
United Arab Emirates,ARE,2019,0.525534746,68887.84,Asia
United Kingdom,GBR,2019,0.442973493,52645.543,Europe
United States,USA,2019,0.812815117,69112.6,North America
Uruguay,URY,2019,26.75332178,30010.574,South America
Vietnam,VNM,2019,11.53604528,11628.614,Asia
Zimbabwe,ZWE,2019,35.83919426,3294.804,Africa